Avg_Temp (°C),Max_Temp (°C),Min_Temp (°C),Precipitation (mm),Humidity (%),Wind_Speed (m/s),Sea level(meters)
-3.460515779,33.05691891,,184.8996976,89.62081303,9.742885739,2.56
,25.90191608,3.173974598,2.957244192,95.17102,10.648246,3.78
7.869842344,18.6342415,10.42485209,,,,4.5
-0.049862614,13.03056238,-9.196433418,102.4544605,Unknown,0.898697634,1
19.89506748,35.88212888,20.06799965,185.7292233,73.99994641,13.12830115,5.25
2.195886323,16.81598005,21.69339369,26.29614845,35.62644319,2.786005094,2.35
-0.831501771,,-9.098586846,22.98402037,,11.03692661,3.67
5.241145173,23.01836551,-2.824100929,100.2381053,75.36834894,12.46233998,4.12
34.28230267,4.777629229,0.391219156,199.4503419,96.8185659,8.008568541,2.9
25.97913984,11.02265628,-7.649405277,,86.0623072,99999,3.5
11.44244911,16.30946989,-8.546002594,158.6718594,53.76671708,0.308558052,1.75
31.68372189,31.73944848,24.9986118,80.12743217,31.02901228,13.37320672,4
7.587886608,15.2793421,,185.0514934,67.4988603,8.051787208,4.5
12.93029643,16.69312005,-6.915669219,198.1173358,94.3139396,6.486466962,2.45
17.69915084,22.48415344,25.51413402,131.414277,49.27602356,2.053036944,5.12
29.37453789,27.35292472,-3.820899673,141.4157018,77.49930454,12.38287137,1.5
4.692807641,35.39726861,14.84523285,99999,30.87108244,4.773136882,3.34
10.06568766,29.90097763,9.522434438,,84.97013285,14.86195864,3
,4.913620891,12.819367,165.3741602,65.53207787,3.177309634,2.8
5.730457256,38.71251852,12.85721649,147.0097105,94.34708926,11.0822747,4.1
10.78019326,,7.379582628,50.83343185,60.37199887,7.017176135,3.25
9.469615162,37.22118299,-8.034582882,106.5532929,87.4209049,14.0573636,3.1
26.81686875,4.956329707,-3.279628231,132.8711528,41.02346163,8.141676931,2.95
20.75124221,37.2452325,12.22186969,98.84780487,40.320804,2.71888648,3.7
17.11413936,20.37165465,15.21632379,92.30967632,54.91768116,11.36776806,4.25
3.064238156,25.79805381,15.0634166,27.58291535,59.73007016,9.121687531,1.95
,,27.20511061,192.5938926,94.62146708,10.55675926,3.4
4.705118161,NAN,27.84559688,Unknown,47.78823204,0.968763629,3.05
32.23769258,21.13465826,9.960272715,172.2251026,95.35806147,12.83651111,2.85
-3.863190581,,3.661159157,,38.06640596,10.9835721,4.15
1.841070868,28.67559835,,51.0250021,,1.585859533,3.2
,17.44547719,8.505951501,186.316302,,4.689495118,3.05
,31.19934615,,9.23345374,41.07150008,14.07171325,2.7
-4.023908315,36.43417018,13.97498686,128.9178325,,6.659815582,3.95
22.74963005,,-7.702567943,121.0318737,32.4404572,3.017945277,4.5
3.311119094,32.91947522,22.10962641,174.6339846,79.37357471,,2
4.679244079,38.05878917,,12.18579576,,12.99395056,3.3
28.27773941,,1.945128031,194.1870108,52.82735522,12.78123022,3
23.07345815,,NAN,56.04025422,79.03792038,NAN,2.85
8.189698558,33.9311344,,18.12952209,71.09740897,11.22822618,4.2
-4.96547252,13.61032754,6.394052326,67.50417194,85.73021685,4.849795419,3.15
6.701457404,29.87213444,27.31949538,171.4769887,68.37450123,9.758041194,3.05
29.04368348,22.50843225,99999,85.02421684,45.65760377,14.14350002,2.7
11.27048271,15.06457072,-5.59837639,58.01898315,72.775543,7.950057233,3.9
3.105174572,20.11985649,14.44350758,26.64125673,64.29065634,2.127273001,4.4
13.0511895,33.44618985,,183.9812092,88.46020715,8.208757811,1.8
32.80796709,22.58883481,-2.543002829,194.4011291,45.98171445,12.40895879,3.35
27.48478013,1.543654624,-4.258235602,40.55623407,76.73911508,14.3347655,3.1
,25.98932182,27.45854514,44.01235477,,6.686504105,2.95
,8.521477375,25.04612937,77.79308083,83.644886,0.904365448,4.3
12.91954502,30.59122119,22.03130686,128.9626591,98.0563627,14.96932493,3.25
27.82614748,12.24565852,,107.5465675,52.91582909,9.071706885,3.1
8.11271494,20.18016567,-3.825249809,25.14280847,,13.30183392,2.8
